what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1472040357536
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1472040357536
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1472040357536
started,bundle,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.resources",1472040357536
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1472040357536
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1472040357536
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1472040357552
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1472040357552
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1472040357552
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1472040357552
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1472040357552
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1472040357552
started,bundle,org.eclipse.wst.common.emf,1.2.3.v201012100400,"org.eclipse.wst.common.emf",1472040357552
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.3.v201012020600,"org.eclipse.wst.common.emfworkbench.integration",1472040357552
started,bundle,org.eclipse.wst.common.frameworks,1.2.0.v201003040800,"org.eclipse.wst.common.frameworks",1472040357552
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.0.v201004080500,"org.eclipse.wst.common.frameworks.ui",1472040357552
started,bundle,org.eclipse.wst.common.modulecore,1.2.5.v201101270100,"org.eclipse.wst.common.modulecore",1472040357552
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1472040357552
started,bundle,org.eclipse.wst.jsdt.core,1.1.4.v201102102045,"org.eclipse.wst.jsdt.core",1472040357552
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1472040357552
started,bundle,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui",1472040357552
started,bundle,org.eclipse.wst.validation,1.2.201.v201101270100,"org.eclipse.wst.validation",1472040357552
started,bundle,org.eclipse.wst.web,1.1.402.v201012160000,"org.eclipse.wst.web",1472040357552
started,bundle,org.eclipse.wst.xml.core,1.1.503.v201102102045,"org.eclipse.wst.xml.core",1472040357552
os,sysinfo,,,"win32",1472040357568
arch,sysinfo,,,"x86_64",1472040357568
ws,sysinfo,,,"win32",1472040357568
locale,sysinfo,,,"zh_CN",1472040357568
processors,sysinfo,,,"4",1472040357568
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1472040357568
java.runtime.version,sysinfo,,,"1.8.0_102-b14",1472040357568
java.specification.name,sysinfo,,,"Java Platform API Specification",1472040357568
java.specification.vendor,sysinfo,,,"Oracle Corporation",1472040357568
java.specification.version,sysinfo,,,"1.8",1472040357568
java.vendor,sysinfo,,,"Oracle Corporation",1472040357568
java.version,sysinfo,,,"1.8.0_102",1472040357568
java.vm.info,sysinfo,,,"mixed mode",1472040357568
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1472040357568
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1472040357568
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1472040357568
java.vm.specification.version,sysinfo,,,"1.8",1472040357568
java.vm.vendor,sysinfo,,,"Oracle Corporation",1472040357568
java.vm.version,sysinfo,,,"25.102-b14",1472040357568
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1472040358943
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1472040358974
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.101.v201102111830,"org.eclipse.wst.xsl.debug.ui",1472040359099
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472040359099
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1472040359240
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472040360146
started,bundle,org.eclipse.wst.server.core,1.1.206.v20110110,"org.eclipse.wst.server.core",1472040361693
started,bundle,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui",1472040361693
started,bundle,org.eclipse.jdt.launching,3.5.200.v20110105_r362,"org.eclipse.jdt.launching",1472040361709
started,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1472040361740
started,bundle,org.eclipse.jst.server.core,1.2.101.v20100421,"org.eclipse.jst.server.core",1472040361756
started,bundle,org.eclipse.jst.jee,1.0.302.v201101122300,"org.eclipse.jst.jee",1472040361756
started,bundle,org.eclipse.wst.jsdt.debug.ui,1.0.3.v201011040143,"org.eclipse.wst.jsdt.debug.ui",1472040361756
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472040362006
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472040363662
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472040372679
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472040383867
started,bundle,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser",1472040394369
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472040397150
started,bundle,org.eclipse.datatools.connectivity,1.2.2.v201010220354,"org.eclipse.datatools.connectivity",1472040399166
started,bundle,org.eclipse.datatools.connectivity.ui,1.2.1.v201010211415,"org.eclipse.datatools.connectivity.ui",1472040399166
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472040400885
started,bundle,org.eclipse.epp.mpc.ui,1.0.1.v20100826-2143,"org.eclipse.epp.mpc.ui",1472040407432
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1472040407667
started,bundle,org.eclipse.equinox.p2.ui,2.0.0.v20100518,"org.eclipse.equinox.p2.ui",1472040409886
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1472040409901
started,bundle,org.eclipse.ecf.filetransfer,4.0.0.v20100906-1425,"org.eclipse.ecf.filetransfer",1472040410464
